Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BookinAPi,,,,21-09-2024 22:45:52,21-09-2024 22:45:54,2.966s,ERROR
,,,,,,,
Test Cases/GET,,,,21-09-2024 22:45:52,21-09-2024 22:45:54,2.502s,PASSED
"getResponse = sendRequest(findTestObject(""GET""))",,,,21-09-2024 22:45:52,21-09-2024 22:45:54,2.395s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.006s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.002s,PASSED
result = slurper.parseText(getResponse.getResponseBodyContent()),,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.005s,PASSED
firstname = firstname,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.003s,PASSED
assert firstname instanceof java.lang.String,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.001s,PASSED
lastname = lastname,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.001s,PASSED
assert lastname instanceof java.lang.String,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.001s,PASSED
totalprice = totalprice,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.000s,PASSED
assert totalprice instanceof java.lang.Integer,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.001s,PASSED
depositpaid = depositpaid,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.000s,PASSED
assert depositpaid instanceof java.lang.Boolean,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.002s,PASSED
bookingdates = bookingdates,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.001s,PASSED
assert bookingdates instanceof java.lang.Object,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.001s,PASSED
checkin = checkin,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.000s,PASSED
assert checkin instanceof java.lang.String,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.001s,PASSED
checkout = checkout,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.000s,PASSED
assert checkout instanceof java.lang.String,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.000s,PASSED
additionalneeds = additionalneeds,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.001s,PASSED
assert additionalneeds instanceof java.lang.String,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.000s,PASSED
println(getResponse),,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.001s,PASSED
,,,,,,,
Test Cases/POST,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.357s,PASSED
"postResponse = sendRequest(findTestObject(""POST""))",,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.337s,PASSED
"verifyResponseStatusCode(postResponse, 200)",,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.002s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.001s,PASSED
result = slurper.parseText(postResponse.getResponseBodyContent()),,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.001s,PASSED
println(postResponse),,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.000s,PASSED
,,,,,,,
Test Cases/DELETE,,,,21-09-2024 22:45:54,21-09-2024 22:45:54,0.011s,ERROR
